序号,地级市,所属省份
1,阿坝藏族羌族自治州,四川省
2,阿克苏地区,新疆维吾尔自治区
3,阿拉善盟,内蒙古自治区
4,阿勒泰地区,新疆维吾尔自治区
5,阿里地区,西藏自治区
6,安康市,陕西省
7,安庆市,安徽省
8,安顺市,贵州省
9,安阳市,河南省
10,鞍山市,辽宁省
11,巴彦淖尔市,内蒙古自治区
12,巴音郭楞蒙古自治州,新疆维吾尔自治区
13,巴中市,四川省
14,白城市,吉林省
15,白山市,吉林省
16,白银市,甘肃省
17,百色市,广西壮族自治区
18,蚌埠市,安徽省
19,包头市,内蒙古自治区
20,宝鸡市,陕西省
21,保定市,河北省
22,保山市,云南省
23,北海市,广西壮族自治区
24,本溪市,辽宁省
25,毕节地区,贵州省
26,滨州市,山东省
27,博尔塔拉蒙古自治州,新疆维吾尔自治区
28,沧州市,河北省
29,昌都地区,西藏自治区
30,昌吉回族自治州,新疆维吾尔自治区
31,长春市,吉林省
32,长沙市,湖南省
33,长治市,山西省
34,常德市,湖南省
35,常州市,江苏省
36,巢湖市,安徽省
37,朝阳市,辽宁省
38,潮州市,广东省
39,郴州市,湖南省
40,成都市,四川省
41,承德市,河北省
42,池州市,安徽省
43,赤峰市,内蒙古自治区
44,崇左市,广西壮族自治区
45,滁州市,安徽省
46,楚雄彝族自治州,云南省
47,达州市,四川省
48,大理白族自治州,云南省
49,大连市,辽宁省
50,大庆市,黑龙江省
51,大同市,山西省
52,大兴安岭地区,黑龙江省
53,丹东市,辽宁省
54,德宏傣族景颇族自治州,云南省
55,德阳市,四川省
56,德州市,山东省
57,迪庆藏族自治州,云南省
58,定西市,甘肃省
59,东莞市,广东省
60,东营市,山东省
61,鄂尔多斯市,内蒙古自治区
62,鄂州市,湖北省
63,恩施土家族苗族自治州,湖北省
64,防城港市,广西壮族自治区
65,佛山市,广东省
66,福州市,福建省
67,抚顺市,辽宁省
68,抚州市,江西省
69,阜新市,辽宁省
70,阜阳市,安徽省
71,甘南州,甘肃省
72,甘孜藏族自治州,四川省
73,赣州市,江西省
74,固原市,宁夏回族自治区
75,广安市,四川省
76,广元市,四川省
77,广州市,广东省
78,贵港市,广西壮族自治区
79,贵阳市,贵州省
80,桂林市,广西壮族自治区
81,果洛藏族自治州,青海省
82,哈尔滨市,黑龙江省
83,哈密地区,新疆维吾尔自治区
84,海北藏族自治州,青海省
85,海东地区,青海省
86,海口市,海南省
87,海南藏族自治州,青海省
88,海西蒙古族藏族自治州,青海省
89,邯郸市,河北省
90,汉中市,陕西省
91,杭州市,浙江省
92,毫州市,安徽省
93,合肥市,安徽省
94,和田地区,新疆维吾尔自治区
95,河池市,广西壮族自治区
96,河源市,广东省
97,菏泽市,山东省
98,贺州市,广西壮族自治区
99,鹤壁市,河南省
100,鹤岗市,黑龙江省
101,黑河市,黑龙江省
102,衡水市,河北省
103,衡阳市,湖南省
104,红河哈尼族彝族自治州,云南省
105,呼和浩特市,内蒙古自治区
106,呼伦贝尔市,内蒙古自治区
107,湖州市,浙江省
108,葫芦岛市,辽宁省
109,怀化市,湖南省
110,淮安市,江苏省
111,淮北市,安徽省
112,淮南市,安徽省
113,黄冈市,湖北省
114,黄南藏族自治州,青海省
115,黄山市,安徽省
116,黄石市,湖北省
117,惠州市,广东省
118,鸡西市,黑龙江省
119,吉安市,江西省
120,吉林市,吉林省
121,济南市,山东省
122,济宁市,山东省
123,佳木斯市,黑龙江省
124,嘉兴市,浙江省
125,嘉峪关市,甘肃省
126,江门市,广东省
127,焦作市,河南省
128,揭阳市,广东省
129,金昌市,甘肃省
130,金华市,浙江省
131,锦州市,辽宁省
132,晋城市,山西省
133,晋中市,山西省
134,荆门市,湖北省
135,荆州市,湖北省
136,景德镇市,江西省
137,九江市,江西省
138,酒泉市,甘肃省
139,喀什地区,新疆维吾尔自治区
140,开封市,河南省
141,克拉玛依市,新疆维吾尔自治区
142,克孜勒苏柯尔克孜自治州,新疆维吾尔自治区
143,昆明市,云南省
144,拉萨市,西藏自治区
145,来宾市,广西壮族自治区
146,莱芜市,山东省
147,兰州市,甘肃省
148,廊坊市,河北省
149,乐山市,四川省
150,丽江市,云南省
151,丽水市,浙江省
152,连云港市,江苏省
153,凉山彝族自治州,四川省
154,辽阳市,辽宁省
155,辽源市,吉林省
156,聊城市,山东省
157,林芝地区,西藏自治区
158,临沧市,云南省
159,临汾市,山西省
160,临夏州,甘肃省
161,临沂市,山东省
162,柳州市,广西壮族自治区
163,六安市,安徽省
164,六盘水市,贵州省
165,龙岩市,福建省
166,陇南市,甘肃省
167,娄底市,湖南省
168,泸州市,四川省
169,吕梁市,山西省
170,洛阳市,河南省
171,漯河市,河南省
172,马鞍山市,安徽省
173,茂名市,广东省
174,眉山市,四川省
175,梅州市,广东省
176,绵阳市,四川省
177,牡丹江市,黑龙江省
178,内江市,四川省
179,那曲地区,西藏自治区
180,南昌市,江西省
181,南充市,四川省
182,南京市,江苏省
183,南宁市,广西壮族自治区
184,南平市,福建省
185,南通市,江苏省
186,南阳市,河南省
187,宁波市,浙江省
188,宁德市,福建省
189,怒江傈僳族自治州,云南省
190,攀枝花市,四川省
191,盘锦市,辽宁省
192,平顶山市,河南省
193,平凉市,甘肃省
194,萍乡市,江西省
195,莆田市,福建省
196,濮阳市,河南省
197,普洱市,云南省
198,七台河市,黑龙江省
199,齐齐哈尔市,黑龙江省
200,黔东南苗族侗族自治州,贵州省
201,黔南布依族苗族自治州,贵州省
202,黔西南布依族苗族自治州,贵州省
203,钦州市,广西壮族自治区
204,秦皇岛市,河北省
205,青岛市,山东省
206,清远市,广东省
207,庆阳市,甘肃省
208,曲靖市,云南省
209,衢州市,浙江省
210,泉州市,福建省
211,日喀则地区,西藏自治区
212,日照市,山东省
213,三门峡市,河南省
214,三明市,福建省
215,三亚市,海南省
216,山南地区,西藏自治区
217,汕头市,广东省
218,汕尾市,广东省
219,商洛市,陕西省
220,商丘市,河南省
221,上饶市,江西省
222,韶关市,广东省
223,邵阳市,湖南省
224,绍兴市,浙江省
225,深圳市,广东省
226,沈阳市,辽宁省
227,十堰市,湖北省
228,石家庄市,河北省
229,石嘴山市,宁夏回族自治区
230,双鸭山市,黑龙江省
231,朔州市,山西省
232,四平市,吉林省
233,松原市,吉林省
234,苏州市,江苏省
235,宿迁市,江苏省
236,宿州市,安徽省
237,绥化市,黑龙江省
238,随州市,湖北省
239,遂宁市,四川省
240,塔城地区,新疆维吾尔自治区
241,台州市,浙江省
242,太原市,山西省
243,泰安市,山东省
244,泰州市,江苏省
245,唐山市,河北省
246,天水市,甘肃省
247,铁岭市,辽宁省
248,通化市,吉林省
249,通辽市,内蒙古自治区
250,铜川市,陕西省
251,铜陵市,安徽省
252,铜仁市,贵州省
253,吐鲁番地区,新疆维吾尔自治区
254,威海市,山东省
255,潍坊市,山东省
256,渭南市,陕西省
257,温州市,浙江省
258,文山壮族苗族自治州,云南省
259,乌海市,内蒙古自治区
260,乌兰察布市,内蒙古自治区
261,乌鲁木齐市,新疆维吾尔自治区
262,无锡市,江苏省
263,吴忠市,宁夏回族自治区
264,芜湖市,安徽省
265,梧州市,广西壮族自治区
266,武汉市,湖北省
267,武威市,甘肃省
268,西安市,陕西省
269,西宁市,青海省
270,西双版纳傣族自治州,云南省
271,锡林郭勒盟,内蒙古自治区
272,厦门市,福建省
273,咸宁市,湖北省
274,咸阳市,陕西省
275,湘潭市,湖南省
276,湘西土家族苗族自治州,湖南省
277,襄樊市,湖北省
278,孝感市,湖北省
279,忻州市,山西省
280,新乡市,河南省
281,新余市,江西省
282,信阳市,河南省
283,兴安盟,内蒙古自治区
284,邢台市,河北省
285,徐州市,江苏省
286,许昌市,河南省
287,宣城市,安徽省
288,雅安市,四川省
289,烟台市,山东省
290,延安市,陕西省
291,延边朝鲜族自治州,吉林省
292,盐城市,江苏省
293,扬州市,江苏省
294,阳江市,广东省
295,阳泉市,山西省
296,伊春市,黑龙江省
297,伊犁哈萨克自治州,新疆维吾尔自治区
298,宜宾市,四川省
299,宜昌市,湖北省
300,宜春市,江西省
301,益阳市,湖南省
302,银川市,宁夏回族自治区
303,鹰潭市,江西省
304,营口市,辽宁省
305,永州市,湖南省
306,榆林市,陕西省
307,玉林市,广西壮族自治区
308,玉树藏族自治州,青海省
309,玉溪市,云南省
310,岳阳市,湖南省
311,云浮市,广东省
312,运城市,山西省
313,枣庄市,山东省
314,湛江市,广东省
315,张家界市,湖南省
316,张家口市,河北省
317,张掖市,甘肃省
318,漳州市,福建省
319,昭通市,云南省
320,肇庆市,广东省
321,镇江市,江苏省
322,郑州市,河南省
323,中山市,广东省
324,中卫市,宁夏回族自治区
325,舟山市,浙江省
326,周口市,河南省
327,株洲市,湖南省
328,珠海市,广东省
329,驻马店市,河南省
330,资阳市,四川省
331,淄博市,山东省
332,自贡市,四川省
333,遵义市,贵州省
334,北京市,北京市
335,天津市,天津市
336,上海市,上海市
337,重庆市,重庆市
